Mid,Cassiopeia,51.78,4.32
Mid,Kled,56.8,0.5
Mid,Fiora,52.05,0.23
Mid,Galio,52.03,5.29
Mid,Fiddlesticks,53.47,0.18
Mid,Darius,52.64,0.25
Mid,Aurelion Sol,5304,0.75
Mid,Diana,51.5,5.34
Mid,Taliyah,53.34,0.14
Mid,Zilean,53.72,0.75
Mid,Lulu,51.3,0.31
Mid,Twisted Fate,50.36,10.99
Mid,Ahri,52.06,6.82
Mid,Fizz,51.87,6.87
Mid,Garen,53.43,1.37
Mid,Renekton,51.16,1.69
Mid,Nocturne,54.03,2.52
Mid,Master Yi,51.89,0.3
Mid,Vladimir,50.25,5.25
Mid,Kha'Zix,53.79,0.05
Mid,Annie,53.3,1.49
Mid,Aatrox,50.68,1.36
Mid,Tryndamere,51.97,0.31
Mid,Kassadin,50.42,5.59
Mid,Anivia,52.03,1.7
Mid,Mordekaiser,51.27,0.89
Mid,Orianna,50.73,4.4
Mid,Heimerdinger,52.11,0.39
Mid,Kayn,50.56,0.34
Mid,Quinn,53.47,0.37
Mid,Lux,51.03,2.06
Mid,Morgana,52.2,0.7
Mid,Malzahar,51.6,2.68
Mid,Vel'Koz,51.2,0.77
Mid,Zoe,49.1,4.22
Mid,Rumble,51.1,1.74
Mid,Cho'Gath,52.09,0.64
Mid,Riven,50.84,0.29
Mid,Jhin,50.75,0.18
Mid,Kalista,48.64,0.34
Mid,Kennen,53.27,0.16
Mid,Sylas,49.56,10.12
Mid,Malphite,50.91,1.47
Mid,Xerath,50.41,2.15
Mid,Poppy,50.62,0.14
Mid,Qiyana,48.66,1.85
Mid,Zed,49.99,9.4
Mid,illaoi,51.87,0.09
Mid,Jayce,49.31,1.31
Mid,Gnar,51.35,0.03
Mid,Syndra,49.41,6.28
Mid,Veigar,50.91,1.47
Mid,Lissandra,49.9,1.92
Mid,Neeko,50.93,0.92
Mid,Ornn,50.12,0.86
Mid,Karma,49.44,0.5
Mid,Karthus,46.62,0.16
Mid,Urgot,50.42,0.07
Mid,Gragas,47.52,0.12
Mid,Irelia,46.9,6.69
Mid,Singed,49.34,0.05
Mid,LeBlanc,48.13,10.34
Mid,Corki,49.38,3.03
Mid,Swain,50.55,0.34
Mid,Kayle,50.46,0.24
Mid,Lucian,46.81,3.49
Mid,Xin Zhao,49.71,0.09
Mid,Ziggs,49.33,0.91
Mid,Gangplank,46.98,0.13
Mid,Teemo,48.74,0.19
Mid,Sion,49.55,0.08
Mid,Tristana,49.27,0.47
Mid,Viktor,49.75,1.79
Mid,Ryze,47.6,2.11
Mid,Akali,46.14,4.94
Mid,Brand,49.71,0.37
Mid,Nunu,29.7,0.12
Mid,Kog'Maw,46.48,0.17
Mid,Zyra,48.2,0.13
Mid,Azir,45.79,1.54
Mid,Nasus,47.88,0.2
Mid,Volibear,38.2,0.24
Bottom,Yasuo,53.11,2.19
Bottom,Varus,51.5,12.31
Bottom,Ezreal,50.86,48.25
Bottom,Miss Fortune,50.33,7.96
Bottom,Vayne,50.81,12.38
Bottom,Ahshe,52.68,13.83
Bottom,Maokai,55.79,0.25
Bottom,Cassiopeia,52.26,0.9
Bottom,Jhin,51.43,7.76
Bottom,Caitlyn,51.23,15.18
Bottom,Zed,54.37,0.26
Bottom,Jinx,51.53,7.56
Bottom,Kog'Maw,51.05,1.29
Bottom,Draven,50.74,1.97
Bottom,Aphelios,49.41,11.66
Bottom,Twitch,51.46,1.24
Bottom,Taliyah,50.26,0.12
Bottom,Kalista,49.66,5.7
Bottom,Syndra,50.15,0.53
Bottom,Ziggs,51.89,0.54
Bottom,Kindred,49.88,0.14
Bottom,Tahm Kench,51.41,0.09
Bottom,Sivir,51.91,4.14
Bottom,Veigar,51.74,0.1
Bottom,Swain,51.58,0.59
Bottom,Kai'Sa,48.09,21.89
Bottom,Heimerdinger,49.7,0.2
Bottom,Lucian,48.1,12.91
Bottom,Tristana,49.98,2.45
Bottom,Xayah,48.82,2.75
Bottom,Neeko,45.01,0.05
Bottom,Corki,44.91,0.15
Bottom,Viktor,45.68,0.08
Supporter,Bard,52.64,4.6
Supporter,Lulu,51.97,7.14
Supporter,Janna,52.93,3.45
Supporter,Senna,50.71,12.46
Supporter,Taric,52.44,1.59
Supporter,Yuumi,50.5,15.79
Supporter,Maokai,52.3,2.15
Supporter,Zac,52.05,0.78
Supporter,Zilean,52.36,4.39
Supporter,Blitzcrank,52.23,13.41
Supporter,Shaco,52.39,2.09
Supporter,Soraka,52.19,5.9
Supporter,Fiddlesticks,51.29,0.95
Supporter,Thresh,50.07,20.06
Supporter,Nam,51.27,3.6
Supporter,Leona,52.21,10.44
Supporter,Galio,51.79,1.78
Supporter,Nautilus,50.52,9.92
Supporter,Karma,50.65,6.58
Supporter,Pantheon,50.17,1.18
Supporter,Taliyah,50.38,0.11
Supporter,Rakan,50.52,2.09
Supporter,Sona,53.28,2.21
Supporter,Lux,51.16,6.74
Supporter,Pyke,49.94,8.38
Supporter,Alistar,51.54,4.25
Supporter,Vel'Koz,51.14,2.13
Supporter,Zyra,52.19,2.75
Supporter,Xerath,50.68,5.66
Supporter,Sett,48.52,4.48
Supporter,Brand,51.64,2.84
Supporter,Swain,51.19,3.58
Supporter,Morgana,50.01,8.72
Supporter,Syndra,47.09,0.19
Supporter,Rengar,54.85,0.07
Supporter,Neeko,50.48,0.74
Supporter,Kennen,49.64,0.1
Supporter,Poppy,48.48,0.62
Supporter,Zoe,45.02,0.22
Supporter,Gragas,49.89,0.31
Supporter,Heimerdinger,47.86,0.15
Supporter,Braum,50.51,2.54
Supporter,Shen,48.31,0.96
Supporter,LeBlanc,46.35,0.37
Supporter,Tahm Kench,47.03,0.64
Supporter,Ziggs,48.41,0.25
Supporter,Miss Fortune,44.17,0.85
Supporter,Jarvan IV,47.39,0.21
Supporter,Lissandra,46.63,0.09
Supporter,Annie,48.7,0.38
